ISBN10,title,brand,discount,initial_price,final_price
9780307455925,Americanah,Chimamanda Ngozi Adichie,6.87,16.95,10.08
0307465357,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,11.63,24.99,13.36
0307476073,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,8.71,18.0,9.29
0307592731,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,15.49,29.95,14.46
0307729915,God Gave Us You,Lisa Tawn BergrenLaura J. Bryant,0.7,6.99,6.29
0307742482,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,7.84,17.0,9.16
9780307744432,The Night Circus,Erin Morgenstern,5.0,17.0,12.0
030788743X,Ready Player One,Ernest Cline,10.0,28.99,18.99
0307887448,Ready Player One: A Novel,Ernest Cline,6.0,17.0,11.0
9780307931801,Fox in Socks: Dr. Seuss's Book of Tongue Tanglers (Bright & Early Board Books(TM)),Dr. Seuss,1.59,4.99,3.4
0307947300,The Stand,Stephen King,8.25,18.0,9.75
0307950689,The Lost Symbol (Robert Langdon),Dan Brown,5.96,16.95,10.99
0307957837,His Dark Materials: The Golden Compass / The Subtle Knife / The Amber Spyglass,Philip Pullman,16.01,38.0,21.99
030797586X,The Little Blue Box of Bright and Early Board Books by Dr. Seuss (Bright & Early Board Books(TM)),Dr. Seuss,7.98,19.96,11.98
031033750X,The Purpose Driven Life: What on Earth Am I Here For?,Rick Warren,2.0,19.99,17.99
0310350239,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life",Henry Cloud,5.04,26.99,21.95
0310351804,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life",Henry Cloud,5.76,18.99,13.23
0310708257,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-JonesJago,8.0,18.99,10.99
031075013X,The Beginner's Bible: Timeless Children's Stories,The Beginner's Bible,11.32,18.99,7.67
0312330537,Shantaram: A Novel,Gregory David Roberts,4.7,19.99,15.29
0312367546,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,1.64,6.99,5.35
031242678X,Call Me by Your Name: A Novel,André Aciman,6.11,17.0,10.89
0312510780,First 100 Words: A Padded Board Book,Roger Priddy,1.21,5.99,4.78
0312521065,"First 100 Board Book Box Set (3 books): First 100 Words, Numbers Colors Shapes, and First 100 Animals",Roger Priddy,4.8,17.97,13.17
0312537077,Firefly Lane: A Novel,Kristin Hannah,7.29,17.99,10.7
0312541538,Still Life,Louise Penny,8.23,17.99,9.76
0312577222,The Nightingale: A Novel,Kristin Hannah,17.84,28.99,11.15
0312601557,On the Night You Were Born,Nancy Tillman,3.01,7.99,4.98
0312663153,Winter Garden,Kristin Hannah,10.43,17.99,7.56
0316015849,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,6.83,16.99,10.16
9780316017923,Outliers: The Story of Success,Malcolm Gladwell,5.0,30.0,25.0
0316017930,Outliers: The Story of Success,Malcolm Gladwell,4.84,18.99,14.15
031602919X,Blood of Elves,Andrzej Sapkowski,2.25,8.99,6.74
0316426725,This Is Going to Hurt: Secret Diaries of a Medical Resident,Adam Kay,3.01,28.0,24.99
9780316055437,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4.01,34.0,29.99
0316055441,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,2.01,20.0,17.99
0316428388,The Office: A Day at Dunder Mifflin Elementary,Robb PearlmanMelanie Demmer,6.48,17.99,11.51
0316067601,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,8.83,18.99,10.16
031606792X,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,5.96,22.99,17.03
0316067938,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,3.0,16.99,13.99
0316435589,"Troubles in Paradise (Volume 3) (Paradise, 3)",Elin Hilderbrand,14.0,28.0,14.0
0316435627,"Troubles in Paradise (Volume 3) (Paradise, 3)",Elin Hilderbrand,3.91,16.99,13.08
0316438960,"The Last Wish: Introducing the Witcher (The Witcher, 1)",Andrzej Sapkowski,5.77,16.99,11.22
0316438987,"Blood of Elves (The Witcher, 3)",Andrzej Sapkowski,3.5,17.99,14.49
0316129089,Leviathan Wakes,James S. A. Corey,3.0,17.99,14.99
0316460834,The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,9.21,19.99,10.78
0316160172,Twilight,Stephenie Meyer,6.5,24.99,18.49
0316160202,Eclipse (Twilight),Stephenie Meyer,3.2,22.99,19.79
0316475114,Little Leaders: Bold Women in Black History (Vashti Harrison),Vashti Harrison,5.51,16.99,11.48
0316478520,Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,18.11,30.0,11.89
0316485616,"The Night Fire (A Renée Ballard and Harry Bosch Novel, 22)",Michael Connelly,7.0,29.0,22.0
0316485624,"Law of Innocence (A Lincoln Lawyer Novel, 6)",Michael Connelly,14.81,29.0,14.19
0316485640,"The Dark Hours (A Renée Ballard and Harry Bosch Novel, 4)",Michael Connelly,14.67,29.0,14.33
0316206857,The Cuckoo's Calling (Cormoran Strike),Robert Galbraith,6.2,18.0,11.8
0316495964,"The Last Wish: Introducing the Witcher (The Witcher, 1)",Andrzej Sapkowski,2.25,8.99,6.74
0316498939,"Troubled Blood (A Cormoran Strike Novel, 5)",Robert Galbraith,14.5,29.0,14.5
0316498955,"Troubled Blood (A Cormoran Strike Novel, 5)",Robert Galbraith,3.5,18.99,15.49
031649934X,"21st Birthday (Women's Murder Club, 21)",James PattersonMaxine Paetro,11.32,29.0,17.68
0316299227,Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,3.55,18.99,15.44
0316310271,"The Cruel Prince (The Folk of the Air, 1)",Holly Black,6.45,19.99,13.54
0316310328,"The Wicked King (The Folk of the Air, 2)",Holly Black,2.0,12.99,10.99
0316310379,"The Queen of Nothing (The Folk of the Air, 3)",Holly Black,2.0,12.99,10.99
0316310425,"The Queen of Nothing (The Folk of the Air, 3)",Holly Black,7.49,19.99,12.5
0316333425,"Leviathan Wakes (10th Anniversary Edition): 10th Anniversary Edition (The Expanse, 1)",James S. A. Corey,8.01,40.0,31.99
0316333522,The Last Wish: Illustrated Edition (The Witcher),Andrzej Sapkowski,5.01,40.0,34.99
0316540714,The President's Daughter: A Thriller,James PattersonBill Clinton,15.0,30.0,15.0
0316556327,Circe,Madeline Miller,5.89,16.99,11.1
0316556343,Circe,Madeline Miller,14.01,30.0,15.99
0316389706,"Sword of Destiny (The Witcher, 2)",Andrzej SapkowskiDavid French,2.5,17.99,15.49
031670704X,Midnight Sun,Stephenie Meyer,13.99,27.99,14.0
0316412694,The President Is Missing: A Novel,James PattersonBill Clinton,14.6,30.0,15.4
9780316769174,The Catcher in the Rye,J. D. Salinger,3.21,15.99,12.78
7543321726,The Catcher in the Rye,J.D. Salinger,4.78,9.99,5.21
0316769533,The Catcher in the Rye,J. D. Salinger,14.01,30.0,15.99
0316420085,Golden Girl,Elin Hilderbrand,14.5,29.0,14.5
0316420255,"Deadly Cross (Alex Cross, 26)",James Patterson,14.69,29.0,14.31
0321832019,The Anatomy Coloring Book,"by Wynn Kapit (Author), Lawrence M. Elson (Author)",8.76,29.99,38.75
0345350685,The Autobiography of Malcolm X: As Told to Alex Haley,Alex Haley,1.0,7.99,6.99
0345376714,The Autobiography of Malcolm X (As Told to Alex Haley),Alex Haley,8.81,19.0,10.19
0345396812,Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estes,2.01,20.0,17.99
0345409876,Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,by Clarissa Pinkola Estés (Author),1.0,8.99,7.99
0345434862,"Sacred Woman: A Guide to Healing the Feminine Body, Mind, and Spirit",Queen Afua,4.54,20.0,15.46
0345472322,Mindset: The New Psychology of Success,Carol S. Dweck,8.45,17.0,8.55
0358653037,The Lord of the Rings Illustrated Edition,J.R.R. Tolkien,18.51,75.0,56.49
034553057,The Racketeer: A Novel,John Grisham,2.51,9.99,7.48
0345533666,Defending Jacob: A Novel,William Landay,4.22,17.0,12.78
0345535529,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,21.33,49.95,28.62
0345538374,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,21.22,35.96,14.74
0345538986,Jurassic Park: A Novel,Michael Crichton,4.85,9.99,5.14
0553390791,Red Rising,Pierce Brown,12.01,28.0,15.99
034553980X,Red Rising,Pierce Brown,6.61,17.0,10.39
0345543246,Sycamore Row (The Jake Brigance),John Grisham,2.5,9.99,7.49
0345543254,Gray Mountain: A Novel,John Grisham,2.51,9.99,7.48
0345544978,Small Great Things: A Novel,Jodi Picoult,3.42,17.0,13.58
0374118043,Call Me by Your Name: A Novel,André Aciman,5.92,27.0,21.08
0345804325,The Underground Railroad: A Novel,Colson Whitehead,3.94,16.95,13.01
0345804341,The Nickel Boys: A Novel,Colson Whitehead,5.07,15.95,10.88
0345806786,The Shining,Stephen King,7.27,18.0,10.73
0374201234,The Mamba Mentality: How I Play,Kobe Bryant,21.13,35.0,13.87
0345816021,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,10.96,25.95,14.99
0374275637,"Thinking, Fast and Slow",Daniel Kahneman,13.01,35.0,21.99
0374300216,If Animals Kissed Good Night,Ann Whitford Paul,3.55,7.99,4.44
0374360960,"The Pout-Pout Fish (A Pout-Pout Fish Adventure, 1)",Deborah DiesenDan Hanna,3.6,17.99,14.39
0374360979,The Pout-Pout Fish,Deborah Diesen,2.99,7.99,5.0
0374386137,"A Wrinkle in Time (A Wrinkle in Time Quintet, 1)",Madeleine L'Engle,8.3,19.99,11.69
0374533555,"Thinking, Fast and Slow",Daniel Kahneman,6.71,18.0,11.29
9780375813610,Junie B. Jones's First Boxed Set Ever! (Books 1-4),Barbara Park,5.95,19.96,14.01
9780375813658,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Mary Pope Osborne,12.01,23.96,11.95
0375842209,The Book Thief,Markus Zusak,8.0,14.99,6.99
0375851569,"Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)",Dr. Seuss,23.48,49.95,26.47
0375969020,Wonder,R. J. Palacio,7.27,16.99,24.26
0380730405,Rebecca,Daphne Du Maurier,6.8,16.99,10.19
0380977788,Coraline,Neil Gaiman,3.35,16.99,13.64
0385121679,The Shining,Stephen King,3.51,40.0,36.49
0385199570,The Stand: The Complete and Uncut Edition,Stephen King,25.88,50.0,24.12
0385302304,Outlander,Diana Gabaldon,19.01,35.0,15.99
0385302312,Dragonfly in Amber (Outlander),Diana Gabaldon,14.51,36.0,21.49
0385302320,Voyager (Outlander),Diana Gabaldon,6.01,35.0,28.99
0385315279,The Fiery Cross,Diana Gabaldon,10.01,35.0,24.99
0385319959,Outlander,Diana Gabaldon,3.31,18.0,14.69
0385324162,A Breath of Snow and Ashes (Outlander),Diana Gabaldon,6.31,35.0,28.69
0812988523,Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels),Kurt Vonnegut,2.01,17.0,14.99
0385335970,"Dragonfly in Amber (Outlander, Book 2)",Diana Gabaldon,4.41,18.0,13.59
1741751683,The Guernsey Literary and Potato Peel Pie Society: A Novel,Mary Ann ShafferAnnie Barrows,8.05,27.0,18.95
9780385341004,The Guernsey Literary and Potato Peel Pie Society,Mary Ann ShafferAnnie Barrows,6.9,17.0,10.1
0385342454,An Echo in the Bone (Outlander),Diana Gabaldon,7.88,35.0,27.12
0385344430,Written in My Own Heart's Blood (Outlander),Diana Gabaldon,11.84,35.0,23.16
0385348711,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,16.75,32.0,15.25
0385353308,Station Eleven,Emily St. John Mandel,3.0,27.95,24.95
0385374151,Where Do Diggers Sleep at Night? (Where Do...Series),Brianna Caplan SayresChristian Slade,0.81,7.99,7.18
0385376715,The Wonderful Things You Will Be,Emily Winfield Martin,9.44,17.99,8.55
0385484518,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,12.96,25.95,12.99
038549081X,The Handmaid's Tale,Margaret Atwood,7.96,15.95,7.99
9780385534246,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,15.01,32.5,17.49
0385534639,The Night Circus,Erin Morgenstern,13.56,30.0,16.44
0385539304,The Body: A Guide for Occupants,Bill Bryson,15.81,30.0,14.19
0385542364,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,Colson Whitehead,11.46,27.95,16.49
038554376X,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,14.36,29.95,15.59
0385543913,"Darker: Fifty Shades Darker as Told by Christian (Fifty Shades Of Grey Series, 5)",E L James,6.05,17.99,11.94
0385544189,The Guardians: A Novel,John Grisham,16.21,29.95,13.74
0385545967,A Time for Mercy (Jake Brigance),John Grisham,18.04,29.95,11.91
0385546025,The Judge's List: A Novel (The Whistler),John Grisham,14.98,29.95,14.97
0385546572,While Justice Sleeps: A Novel,Stacey Abrams,11.99,28.0,16.01
0385547684,Sooley: A Novel,John Grisham,13.28,28.95,15.67
0385737947,"The Maze Runner (Maze Runner, Book One): Book One",James Dashner,6.38,18.99,12.61
9780385737951,The Maze Runner (Book 1),James Dashner,5.0,9.99,4.99
9780385741262,We Were Liars,E. Lockhart,5.79,17.99,12.2
0385741278,We Were Liars,E. Lockhart,5.01,10.99,5.98
